FY,ROIReportingQr,ROIReportingMonth,Portfolio,Application,Amount,AutomationFramework,TransformationInitiative,FP,DealCount,TestCaseDesign,TestUpdated,TestCaseExecuted,ROISheet,Lead,Comment,intake_number
2025,Q1,Jan,Lending,LCMS,100,UFT,,,,,,,,,,
2025,Q1,Feb,Lending,LCMS,101,Conformiq,,,,,,,,,,
2025,Q1,Mar,Lending,LCMS,102,Robot,,,,,,,,,,
2025,Q1,Apr,Lending,LCMS,103,SOA,,,,,,,,,,
2025,Q1,May,Lending,LCMS,104,Java,,,,,,,,,,
2025,Q1,Jun,Lending,LCMS,105,UFT,,,,,,,,,,
2025,Q1,Jul,Lending,LCMS,106,Conformiq,,,,,,,,,,
2025,Q1,Aug,Lending,LCMS,107,Robot,,,,,,,,,,
2025,Q1,Sep,Lending,LCMS,108,SOA,,,,,,,,,,
2025,Q1,Oct,Lending,LCMS,109,Java,,,,,,,,,,
2025,Q1,Nov,Lending,LCMS,110,UFT,,,,,,,,,,
2025,Q1,Dec,Lending,LCMS,111,Conformiq,,,,,,,,,,
2025,Q1,Jan,Lending,LCMS,112,Robot,,,,,,,,,,
2025,Q1,Feb,Lending,LCMS,113,SOA,,,,,,,,,,
2025,Q1,Mar,Lending,LCMS,114,Java,,,,,,,,,,
2025,Q2,Apr,Lending,LCMS,115,Java,,,,,,,,,,
2025,Q3,May,Lending,LCMS,116,UFT,,,,,,,,,,
2025,Q4,Jun,Lending,LCMS,117,Conformiq,,,,,,,,,,
2025,Q1,Jul,Lending,LCMS,118,Robot,,,,,,,,,,
